age,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,gender_Female,gender_Male,gender_Other,learning_disabilities,peer_influence,tutoring_sessions,exam_anxiety_score,motivation_score
21,4.2,1.7,0.0,1.0,0.8420000000000001,6.5,2.0,1.0,1,1.0,3.0,0.0,72.6,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,3.5,3.0,2.6,0.0,0.7490000000000001,7.3,1.0,3.0,0,2.0,4.0,0.0,70.7,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
17,4.3,2.5,0.0,1.0,0.6409999999999999,3.9,2.0,0.0,0,1.0,2.0,0.0,59.4,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
17,3.8,1.7,1.4,0.0,0.703,7.0,0.0,0.0,1,2.0,1.0,0.0,58.1,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
19,5.5,3.1,2.3,0.0,0.713,5.7,2.0,1.0,0,1.0,3.0,0.0,82.3,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
19,3.7,4.7,2.0,0.0,0.988,8.5,2.0,6.0,1,2.0,2.0,0.0,69.7,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
23,2.9,2.3,2.3,0.0,0.862,7.2,2.0,6.0,1,1.0,1.0,0.0,66.0,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
18,3.7,3.4,2.0,0.0,0.889,6.8,1.0,3.0,0,0.0,1.0,1.0,63.5,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
24,4.3,0.9,3.2,0.0,0.628,7.1,0.0,0.0,1,2.0,2.0,0.0,65.7,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,3.6,1.4,0.8,0.0,0.73,5.3,2.0,4.0,0,0.0,9.0,0.0,78.5,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,3.6,3.1,1.1,0.0,0.9390000000000001,8.4,1.0,1.0,1,1.0,5.0,1.0,75.1,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
24,2.4,4.3,1.0,0.0,0.879,8.9,0.0,5.0,0,1.0,9.0,1.0,71.0,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
23,2.5,2.9,2.7,0.0,0.835,7.0,2.0,4.0,0,2.0,8.0,1.0,59.7,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
22,1.4,2.1,2.8,0.0,0.9059999999999999,8.4,1.0,3.0,1,2.0,6.0,0.0,52.6,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
22,6.1,2.5,2.3,0.0,1.0,5.8,0.0,5.0,0,1.0,1.0,0.0,96.5,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
23,1.6,1.0,3.1,0.0,0.828,5.5,1.0,4.0,2,2.0,10.0,1.0,62.0,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
22,2.5,3.2,0.5,0.0,0.857,6.5,0.0,0.0,0,1.0,5.0,0.0,59.7,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
19,2.4,3.6,3.6,0.0,0.8690000000000001,7.0,1.0,6.0,0,1.0,1.0,0.0,48.4,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,4.8,2.0,3.5,0.0,1.0,6.0,2.0,0.0,1,2.0,7.0,1.0,70.6,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
23,3.1,1.9,2.6,1.0,0.64,7.1,1.0,5.0,0,2.0,10.0,0.0,68.1,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,5.4,2.8,3.8,0.0,0.9179999999999999,6.9,2.0,2.0,0,2.0,8.0,0.0,87.2,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
24,2.5,2.0,0.0,0.0,0.8390000000000001,5.3,2.0,6.0,1,1.0,8.0,0.0,66.7,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
17,3.9,2.4,1.2,0.0,0.907,7.1,2.0,1.0,1,1.0,7.0,1.0,75.2,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
19,2.2,5.0,1.0,0.0,0.784,7.5,0.0,5.0,2,1.0,2.0,1.0,46.4,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
21,6.7,2.2,2.6,0.0,0.845,6.7,2.0,3.0,2,1.0,5.0,1.0,97.1,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
19,1.7,2.1,0.6,1.0,0.9209999999999999,7.9,1.0,1.0,0,1.0,4.0,0.0,61.2,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
23,4.0,1.7,2.6,0.0,1.0,5.0,1.0,4.0,1,2.0,5.0,0.0,75.0,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
21,4.5,3.4,3.3,1.0,0.9309999999999999,7.1,2.0,6.0,0,2.0,10.0,0.0,94.7,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
17,4.1,2.3,2.6,1.0,0.765,5.1,1.0,3.0,1,1.0,9.0,0.0,77.6,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
23,3.2,1.7,2.1,0.0,0.8079999999999999,5.2,2.0,3.0,0,0.0,4.0,1.0,68.6,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
18,3.3,4.1,0.7,0.0,0.805,5.7,0.0,0.0,2,2.0,8.0,0.0,69.6,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,3.6,4.2,0.9,0.0,0.67,5.4,2.0,4.0,1,1.0,8.0,0.0,66.5,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
17,3.3,1.8,3.2,0.0,0.8170000000000001,5.8,0.0,0.0,2,2.0,2.0,0.0,62.2,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,4.9,0.3,2.7,1.0,0.9229999999999999,6.2,2.0,0.0,1,0.0,6.0,0.0,82.1,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
22,6.8,3.7,1.8,0.0,0.723,7.5,0.0,6.0,2,1.0,5.0,0.0,100.0,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
18,2.7,1.7,1.3,0.0,0.955,6.1,0.0,2.0,1,2.0,2.0,1.0,59.7,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
18,1.4,3.4,0.0,0.0,0.899,4.6,1.0,0.0,0,0.0,10.0,1.0,55.1,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
17,3.4,0.1,0.6,0.0,0.777,7.9,1.0,1.0,0,1.0,4.0,1.0,77.1,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
18,7.4,3.6,3.9,0.0,0.836,5.5,1.0,3.0,0,1.0,7.0,1.0,97.7,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
21,2.3,1.0,0.4,0.0,1.0,6.4,1.0,6.0,0,2.0,1.0,0.0,66.9,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
18,6.0,3.4,2.0,1.0,0.9229999999999999,7.0,1.0,0.0,1,2.0,9.0,1.0,99.9,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,6.0,2.5,2.9,0.0,0.851,6.7,0.0,5.0,1,1.0,10.0,1.0,100.0,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,2.7,1.4,0.4,0.0,0.826,7.8,1.0,1.0,1,0.0,1.0,0.0,57.2,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
23,4.4,2.0,2.0,1.0,0.858,7.1,2.0,4.0,2,2.0,5.0,0.0,77.3,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,5.9,3.3,2.8,1.0,0.799,5.5,2.0,3.0,2,1.0,7.0,0.0,91.6,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
23,2.9,2.6,1.8,0.0,0.64,9.1,2.0,6.0,0,2.0,8.0,0.0,70.7,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,3.2,3.2,5.0,0.0,1.0,6.7,2.0,5.0,0,0.0,2.0,0.0,57.6,0.0,0.0,1.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
21,2.6,4.9,0.0,1.0,0.866,6.3,1.0,6.0,0,0.0,4.0,0.0,60.2,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
24,2.0,0.6,3.0,0.0,0.89,7.7,0.0,6.0,0,2.0,2.0,1.0,50.5,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
23,2.5,4.4,1.6,0.0,0.8440000000000001,6.8,1.0,5.0,1,1.0,4.0,0.0,51.3,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
19,1.7,2.6,2.6,0.0,0.7759999999999999,7.0,2.0,4.0,1,2.0,6.0,0.0,53.5,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
22,3.6,1.4,2.3,0.0,0.831,9.5,2.0,5.0,1,0.0,6.0,0.0,79.2,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
17,2.3,0.9,1.0,0.0,0.69,6.2,1.0,1.0,2,1.0,2.0,1.0,47.2,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,3.9,2.3,2.1,0.0,1.0,6.1,0.0,6.0,1,2.0,4.0,0.0,73.4,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
18,1.2,3.6,0.0,0.0,0.727,6.6,0.0,4.0,0,1.0,4.0,1.0,41.1,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
24,4.0,2.3,2.5,0.0,0.747,7.8,1.0,6.0,1,2.0,1.0,0.0,77.8,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,4.8,4.3,2.1,0.0,0.8059999999999999,4.7,1.0,5.0,0,1.0,2.0,0.0,63.4,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
18,0.5,0.8,2.5,1.0,0.9790000000000001,4.1,0.0,4.0,0,2.0,3.0,0.0,43.9,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
22,4.1,2.5,3.0,0.0,0.851,5.8,2.0,4.0,0,2.0,5.0,0.0,70.2,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
22,5.3,1.0,2.2,0.0,0.726,4.5,1.0,0.0,0,1.0,8.0,0.0,81.3,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
22,1.7,2.9,2.0,0.0,0.975,6.0,2.0,0.0,0,2.0,6.0,0.0,50.2,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
18,6.0,3.6,0.8,0.0,0.9229999999999999,7.1,2.0,0.0,0,2.0,3.0,0.0,87.9,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,4.1,2.0,1.0,0.0,0.904,5.4,2.0,5.0,1,1.0,6.0,0.0,80.9,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
22,2.4,0.0,3.1,0.0,0.922,4.8,2.0,3.0,1,2.0,7.0,1.0,63.9,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
21,3.4,2.7,3.4,0.0,1.0,6.6,2.0,1.0,0,2.0,6.0,0.0,65.6,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
23,4.3,3.0,1.5,0.0,1.0,7.5,2.0,5.0,0,1.0,10.0,1.0,93.2,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
18,3.6,3.0,1.9,0.0,0.7809999999999999,4.5,2.0,6.0,1,1.0,6.0,0.0,74.0,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
18,4.3,4.0,0.8,0.0,1.0,7.5,1.0,0.0,0,1.0,1.0,0.0,60.8,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,2.1,1.2,3.1,0.0,0.888,7.5,2.0,4.0,2,1.0,3.0,0.0,50.4,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
18,3.8,3.3,2.5,0.0,0.9,7.6,2.0,5.0,1,2.0,7.0,0.0,74.3,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
18,1.4,3.9,3.9,1.0,0.6809999999999999,8.0,2.0,4.0,0,1.0,4.0,1.0,32.8,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
22,3.3,0.4,0.8,0.0,0.833,9.1,2.0,6.0,0,2.0,4.0,1.0,82.3,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,2.1,2.9,1.4,0.0,0.769,6.1,1.0,4.0,0,1.0,7.0,0.0,60.4,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
22,2.4,1.9,2.1,0.0,0.9329999999999999,6.6,0.0,4.0,0,1.0,9.0,1.0,60.0,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
23,5.4,2.4,2.5,0.0,0.9570000000000001,6.0,1.0,2.0,0,2.0,2.0,0.0,77.5,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
24,5.1,2.9,1.6,0.0,0.643,6.5,1.0,3.0,1,1.0,9.0,1.0,86.5,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
23,4.4,1.9,0.8,0.0,0.848,8.3,2.0,1.0,0,1.0,3.0,0.0,76.9,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
24,1.9,1.7,2.8,0.0,0.9620000000000001,4.9,1.0,1.0,1,0.0,6.0,1.0,43.9,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
22,3.0,2.5,2.6,0.0,0.831,5.5,1.0,0.0,1,1.0,4.0,0.0,51.3,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
23,5.3,1.2,0.8,0.0,0.9229999999999999,8.2,1.0,2.0,0,1.0,1.0,0.0,83.3,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,3.7,1.2,3.3,0.0,0.885,7.7,0.0,5.0,0,2.0,9.0,0.0,82.7,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
17,7.0,3.3,3.1,0.0,0.884,6.1,2.0,5.0,0,1.0,6.0,1.0,94.8,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
22,4.1,1.1,1.9,0.0,0.823,7.5,2.0,1.0,0,2.0,8.0,0.0,80.8,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
24,3.8,3.3,1.9,0.0,0.728,6.9,0.0,3.0,1,2.0,2.0,1.0,58.3,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
21,3.0,3.1,2.4,1.0,0.738,8.3,1.0,4.0,0,1.0,7.0,0.0,66.3,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
24,3.7,0.4,0.9,0.0,0.9209999999999999,6.6,1.0,6.0,1,1.0,6.0,0.0,87.9,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
21,3.3,1.7,1.8,0.0,0.852,7.7,0.0,0.0,0,2.0,2.0,0.0,60.5,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
18,4.6,3.9,0.0,0.0,0.836,9.7,0.0,3.0,0,2.0,2.0,0.0,84.8,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
23,4.9,1.3,2.8,0.0,0.8079999999999999,7.2,2.0,1.0,1,1.0,4.0,0.0,77.0,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
21,2.3,1.9,0.1,0.0,0.8190000000000001,6.6,1.0,2.0,1,1.0,4.0,0.0,61.7,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
24,1.5,3.1,3.5,0.0,0.955,7.4,1.0,0.0,0,1.0,3.0,0.0,44.0,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
18,0.7,3.4,1.4,1.0,0.816,6.1,0.0,1.0,0,0.0,8.0,0.0,42.4,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
17,4.3,2.2,1.6,0.0,0.716,9.4,2.0,5.0,1,2.0,7.0,0.0,88.0,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,1.8,1.8,1.1,0.0,0.924,6.7,2.0,0.0,0,2.0,2.0,0.0,48.7,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,0.3,4.2,1.5,0.0,0.83,6.2,2.0,1.0,0,1.0,3.0,1.0,26.8,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,4.1,4.6,3.4,0.0,0.853,5.5,0.0,5.0,1,2.0,10.0,0.0,81.6,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
21,7.2,3.7,0.0,0.0,1.0,7.8,2.0,6.0,0,2.0,9.0,0.0,100.0,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
17,3.5,2.6,3.2,1.0,0.848,7.5,1.0,5.0,1,1.0,5.0,1.0,74.0,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
21,4.8,1.5,2.2,0.0,0.879,5.9,1.0,4.0,1,0.0,2.0,1.0,78.4,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
23,3.6,1.5,0.5,0.0,0.732,7.2,1.0,2.0,1,2.0,3.0,0.0,70.7,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
21,3.4,3.1,0.6,0.0,0.828,4.7,1.0,4.0,1,2.0,8.0,0.0,74.3,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
17,4.9,3.0,3.6,0.0,0.9109999999999999,6.7,2.0,1.0,1,2.0,4.0,0.0,67.6,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
17,3.1,4.2,0.8,0.0,0.6940000000000001,7.0,2.0,6.0,1,0.0,2.0,0.0,64.7,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
23,3.9,3.3,0.5,0.0,0.87,8.5,1.0,3.0,2,1.0,2.0,0.0,64.1,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
17,4.0,0.7,3.1,0.0,0.86,5.6,2.0,6.0,0,0.0,6.0,0.0,83.5,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
24,2.5,3.8,2.2,0.0,0.8540000000000001,5.0,2.0,6.0,0,2.0,8.0,0.0,63.4,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
17,5.0,1.3,0.8,0.0,0.9540000000000001,5.4,2.0,6.0,1,2.0,7.0,0.0,96.2,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,3.2,2.0,2.0,0.0,0.883,4.9,1.0,4.0,1,0.0,4.0,1.0,65.4,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
